group,owner,source,url,selector,enabled,trust
official,openai,pricing,https://openai.com/api/pricing/,main,1,high
official,openai,models,https://platform.openai.com/docs/models,main,1,high
official,openai,data_privacy,https://platform.openai.com/docs/guides/your-data,main,1,high
official,openai,changelog,https://developers.openai.com/api/docs/changelog,main,1,high
official,openai,status,https://status.openai.com/,body,1,high
official,openai,deployment_safety,https://deploymentsafety.openai.com/,main,1,high
official,anthropic,pricing,https://docs.anthropic.com/en/docs/about-claude/pricing,main,1,high
official,anthropic,models,https://docs.anthropic.com/en/docs/about-claude/models/overview,main,1,high
official,anthropic,service_tiers,https://docs.anthropic.com/en/api/service-tiers,main,1,high
official,anthropic,changelog,https://docs.anthropic.com/en/release-notes/api,main,1,high
official,anthropic,status,https://status.anthropic.com/,body,1,high
official,anthropic,system_cards,https://www.anthropic.com/system-cards,main,1,high
official,google,pricing,https://ai.google.dev/gemini-api/docs/pricing,main,1,high
official,google,models,https://ai.google.dev/gemini-api/docs/models,main,1,high
official,google,changelog,https://ai.google.dev/gemini-api/docs/changelog,main,1,high
official,google,rate_limits,https://ai.google.dev/gemini-api/docs/rate-limits,main,1,high
official,google,terms,https://ai.google.dev/gemini-api/terms,main,1,high
official,google,vertex_models,https://cloud.google.com/vertex-ai/generative-ai/docs/models,main,1,high
official,google,model_cards,https://deepmind.google/models/model-cards/,main,1,high
official,xai,models,https://docs.x.ai/developers/models,main,1,high
official,xai,pricing,https://docs.x.ai/developers/pricing,main,1,high
official,xai,changelog,https://docs.x.ai/docs/release-notes,main,1,high
official,xai,retirements,https://docs.x.ai/developers/migration/may-15-retirement,main,1,high
official,xai,status,https://status.x.ai/,body,1,high
official,mistral,pricing,https://mistral.ai/pricing/,main,1,high
official,mistral,models,https://docs.mistral.ai/models/,main,1,high
official,mistral,models_overview,https://docs.mistral.ai/models/overview,main,1,high
official,mistral,changelog,https://docs.mistral.ai/resources/changelogs,main,1,high
official,mistral,status,https://status.mistral.ai/,body,1,high
benchmark,artificialanalysis,models,https://artificialanalysis.ai/models/,main,1,high
benchmark,artificialanalysis,leaderboard,https://artificialanalysis.ai/leaderboards/models/,main,1,high
benchmark,lmarena,leaderboard,https://lmarena.ai/leaderboard,main,1,high
benchmark,swebench,leaderboard,https://www.swebench.com/,main,1,high
benchmark,aider,leaderboard,https://aider.chat/docs/leaderboards/,main,1,high
benchmark,stanford_helm,leaderboard,https://crfm.stanford.edu/helm,main,1,high
benchmark,nvidia_ruler,repository,https://github.com/NVIDIA/RULER,main,1,high
benchmark,mteb,leaderboard,https://huggingface.co/spaces/mteb/leaderboard,main,1,high
benchmark,mteb,repository,https://huggingface.co/mteb,main,1,high
